x	y
475	0.006540
476	46.153212
477	88.342130
478	126.751023
479	161.552902
480	192.916132
481	221.004503
482	245.977299
483	267.989368
484	287.191197
485	303.728972
486	317.744655
487	329.376047
488	338.756859
489	346.016777
490	351.281527
491	354.672948
492	356.309049
493	356.304081
494	354.768598
495	351.809523
496	347.530211
497	342.030513
498	335.406837
499	327.752214
500	319.156356
501	309.705718
502	299.483560
503	288.570010
504	277.042116
505	264.973914
506	252.436481
507	239.497998
508	226.223803
509	212.676452
510	198.915775
511	184.998934
512	170.980473
513	156.912383
514	142.844149
515	128.822807
516	114.893001
517	101.097031
518	87.474911
519	74.064420
520	60.901151
521	48.018568
522	35.448054
523	23.218961
524	11.358662
525	-0.107400
526	-11.155664
527	-21.764401
528	-31.913665
529	-41.585247
530	-50.762629
531	-59.430933
532	-67.576877
533	-75.188733
534	-82.256274
535	-88.770737
536	-94.724771
537	-100.112402
538	-104.928982
539	-109.171150
540	-112.836789
541	-115.924982
542	-118.435977
543	-120.371137
544	-121.732907
545	-122.524771
546	-122.751213
547	-122.417676
548	-121.530529
549	-120.097024
550	-118.125258
551	-115.624143
552	-112.603359
553	-109.073328
554	-105.045173
555	-100.530683
556	-95.542279
557	-90.092984
558	-84.196381
559	-77.866588
560	-71.118221
561	-63.966364
562	-56.426535
563	-48.514657
564	-40.247027
565	-31.640284
566	-22.711382
567	-13.477559
568	-3.956309
569	5.834646
570	15.877386
571	26.153815
572	36.645695
573	47.334666
574	58.202275
575	69.230000
576	80.399277
577	91.691520
578	103.088150
579	114.570615
580	126.120414
581	137.719117
582	149.348393
583	160.990025
584	172.625933
585	184.238195
586	195.809068
587	207.321006
588	218.756678
589	230.098988
590	241.331093
591	252.436420
592	263.398685
593	274.201904
594	284.830415
595	295.268893
596	305.502360
597	315.516205
598	325.296197
599	334.828495
600	344.099666
601	353.096695
602	361.806998
603	370.218432
604	378.319310
605	386.098407
606	393.544973
607	400.648742
608	407.399942
609	413.789304
610	419.808066
611	425.447989
612	430.701355
613	435.560980
614	440.020220
615	444.072973
616	447.713688
617	450.937369
618	453.739578
619	456.116440
620	458.064646
621	459.581457
622	460.664705
623	461.312795
624	461.524708
625	461.300000
626	460.638804
627	459.541828
628	458.010357
629	456.046251
630	453.651942
631	450.830436
632	447.585304
633	443.920686
634	439.841285
635	435.352359
636	430.459724
637	425.169744
638	419.489327
639	413.425918
640	406.987496
641	400.182562
642	393.020139
643	385.509754
644	377.661442
645	369.485725
646	360.993611
647	352.196583
648	343.106584
649	333.736013
650	324.097709
651	314.204942
652	304.071396
653	293.711165
654	283.138731
655	272.368956
656	261.417065
657	250.298633
658	239.029569
659	227.626100
660	216.104757
661	204.482355
662	192.775980
663	181.002968
664	169.180889
665	157.327527
666	145.460862
667	133.599052
668	121.760408
669	109.963380
670	98.226531
671	86.568518
672	75.008070
673	63.563965
674	52.255006
675	41.100000
676	30.117732
677	19.326944
678	8.746303
679	-1.605615
680	-11.710357
681	-21.549620
682	-31.105271
683	-40.359384
684	-49.294259
685	-57.892455
686	-66.136818
687	-74.010510
688	-81.497037
689	-88.580283
690	-95.244538
691	-101.474528
692	-107.255450
693	-112.573003
694	-117.413419
695	-121.763496
696	-125.610637
697	-128.942876
698	-131.748918
699	-134.018174
700	-135.740794
701	-136.907703
702	-137.510641
703	-137.542198
704	-136.995850
705	-135.865999
706	-134.148010
707	-131.838252
708	-128.934137
709	-125.434157
710	-121.337929
711	-116.646231
712	-111.361049
713	-105.485614
714	-99.024447
715	-91.983400
716	-84.369703
717	-76.192003
718	-67.460411
719	-58.186549
720	-48.383589
721	-38.066306
722	-27.251118
723	-15.956139
724	-4.201220
725	7.992000
726	20.600044
727	33.597553
728	46.957232
729	60.649804
730	74.643958
731	88.906299
732	103.401295
733	118.091228
734	132.936141
735	147.893786
736	162.919568
737	177.966494
738	192.985119
739	207.923492
740	222.727097
741	237.338803
742	251.698803
743	265.744562
744	279.410757
745	292.629218
746	305.328875
747	317.435697
748	328.872632
749	339.559547
750	349.413173
751	358.347038
752	366.271412
753	373.093241
754	378.716087
755	383.040067
756	385.961788
757	387.374286
758	387.166958
759	385.225503
760	381.431854
761	375.664112
762	367.796484
763	357.699212
764	345.238512
765	330.276499
766	312.671127
767	292.276118
768	268.940889
769	242.510492
770	212.825534
771	179.722116
772	143.031755
773	102.581320
774	58.192952
775	9.684000
